class, translated
16,Acces interdit aux vehicules > 3.5t
1,Limitation de vitesse (30km/h)
38,Contournement obligatoire de l'obstacle par la droite
33,Direction obligatoire a' la prochaine intersection : a' droite
11,Intersection ou' vous etes prioritaire
38,Contournement obligatoire de l'obstacle par la droite
18,Danger
12,Route prioritaire
25,Travaux en cours
35,Direction obligatoire a' la prochaine intersection : tout droit
12,Route prioritaire
7,Limitation de vitesse (100km/h)
30,Neige ou glace
7,Limitation de vitesse (100km/h)
4,Limitation de vitesse (70km/h)
9,Interdiction de depasser
21,Succession de virages
20,Virage a' droite
27,Passage pietons
38,Contournement obligatoire de l'obstacle par la droite
4,Limitation de vitesse (70km/h)
33,Direction obligatoire a' la prochaine intersection : a' droite
9,Interdiction de depasser
3,Limitation de vitesse (60km/h)
1,Limitation de vitesse (30km/h)
11,Intersection ou' vous etes prioritaire
13,Ceder le passage
10,Interdiction de depasser pour vehicules > 3.5t
9,Interdiction de depasser
11,Intersection ou' vous etes prioritaire
5,Limitation de vitesse (80km/h)
17,Sens interdit
34,Direction obligatoire a' la prochaine intersection : a' gauche
23,Chaussee glissante
2,Limitation de vitesse (50km/h)
17,Sens interdit
3,Limitation de vitesse (60km/h)
12,Route prioritaire
16,Acces interdit aux vehicules > 3.5t
3,Limitation de vitesse (60km/h)
7,Limitation de vitesse (100km/h)
30,Neige ou glace
18,Danger
12,Route prioritaire
28,Endroit frequente' par les enfants
25,Travaux en cours
3,Limitation de vitesse (60km/h)
10,Interdiction de depasser pour vehicules > 3.5t
18,Danger
0,Limitation de vitesse (20km/h)
31,Passage d'animaux sauvages
13,Ceder le passage
15,Circulation interdite
9,Interdiction de depasser
13,Ceder le passage
35,Direction obligatoire a' la prochaine intersection : tout droit
5,Limitation de vitesse (80km/h)
26,Annonce feux
9,Interdiction de depasser
16,Acces interdit aux vehicules > 3.5t
38,Contournement obligatoire de l'obstacle par la droite
10,Interdiction de depasser pour vehicules > 3.5t
4,Limitation de vitesse (70km/h)
9,Interdiction de depasser
15,Circulation interdite
9,Interdiction de depasser
26,Annonce feux
2,Limitation de vitesse (50km/h)
5,Limitation de vitesse (80km/h)
28,Endroit frequente' par les enfants
11,Intersection ou' vous etes prioritaire
25,Travaux en cours
30,Neige ou glace
34,Direction obligatoire a' la prochaine intersection : a' gauche
5,Limitation de vitesse (80km/h)
12,Route prioritaire
1,Limitation de vitesse (30km/h)
10,Interdiction de depasser pour vehicules > 3.5t
25,Travaux en cours
25,Travaux en cours
21,Succession de virages
33,Direction obligatoire a' la prochaine intersection : a' droite
25,Travaux en cours
7,Limitation de vitesse (100km/h)
10,Interdiction de depasser pour vehicules > 3.5t
35,Direction obligatoire a' la prochaine intersection : tout droit
3,Limitation de vitesse (60km/h)
7,Limitation de vitesse (100km/h)
22,Cassis ou dos-d'ane
13,Ceder le passage
3,Limitation de vitesse (60km/h)
1,Limitation de vitesse (30km/h)
2,Limitation de vitesse (50km/h)
14,Arret a' l'intersection
12,Route prioritaire
32,Fin des interdictions precedemment signalees
3,Limitation de vitesse (60km/h)
38,Contournement obligatoire de l'obstacle par la droite
9,Interdiction de depasser
33,Direction obligatoire a' la prochaine intersection : a' droite
1,Limitation de vitesse (30km/h)
10,Interdiction de depasser pour vehicules > 3.5t
5,Limitation de vitesse (80km/h)
11,Intersection ou' vous etes prioritaire
33,Direction obligatoire a' la prochaine intersection : a' droite
4,Limitation de vitesse (70km/h)
35,Direction obligatoire a' la prochaine intersection : tout droit
25,Travaux en cours
33,Direction obligatoire a' la prochaine intersection : a' droite
4,Limitation de vitesse (70km/h)
1,Limitation de vitesse (30km/h)
14,Arret a' l'intersection
16,Acces interdit aux vehicules > 3.5t
10,Interdiction de depasser pour vehicules > 3.5t
23,Chaussee glissante
3,Limitation de vitesse (60km/h)
27,Passage pietons
29,Debouche' de cyclistes
1,Limitation de vitesse (30km/h)
17,Sens interdit
13,Ceder le passage
7,Limitation de vitesse (100km/h)
